time;cpu
1300310320.44;0
1300310321.45;39.3805309735
1300310322.46;43.5779816514
1300310323.46;42.9906542056
1300310324.46;43.3179723502
1300310325.47;43.3179723502
1300310326.47;44.8780487805
1300310327.47;84.9246231156
1300310328.48;58.1280788177
1300310329.48;42.735042735
1300310330.48;57.0093457944
1300310331.49;30.2325581395
1300310332.49;39.2523364486
1300310333.49;34.8837209302
1300310334.5;60.5769230769
1300310335.5;84.6534653465
1300310336.5;84.5771144279
1300310337.5;76.5
1300310338.51;75.1243781095
1300310339.51;65.8536585366
1300310340.51;74.1293532338
1300310341.52;66.6666666667
1300310342.52;73.6585365854
1300310343.52;79.2079207921
1300310344.53;69.0
1300310345.53;71.0784313725
1300310346.53;79.702970297
1300310347.54;66.0194174757
1300310348.55;68.6567164179
1300310349.55;80.9045226131
1300310350.55;67.8048780488
1300310351.56;70.5
1300310352.56;73.1707317073
1300310353.56;71.2871287129
1300310354.57;74.8743718593
1300310355.57;67.9611650485
1300310356.57;74.3842364532
1300310357.58;73.8693467337
1300310358.58;75.7425742574
1300310359.59;73.0392156863
1300310360.59;78.2178217822
1300310361.59;65.3465346535
1300310362.6;68.9655172414
1300310363.6;68.2926829268
1300310364.6;76.8472906404
1300310365.61;69.0
1300310366.62;74.2574257426
1300310367.63;78.2608695652
1300310368.63;81.6831683168
1300310369.63;76.6169154229
1300310370.64;74.1293532338
1300310371.64;67.9611650485
1300310372.64;74.3961352657
1300310373.64;68.9655172414
1300310374.65;71.7821782178
1300310375.65;62.0192307692
1300310376.65;75.4901960784
1300310377.65;69.9029126214
1300310378.66;61.7224880383
1300310379.66;65.0246305419
1300310380.66;58.8516746411
1300310381.66;62.1359223301
1300310382.66;71.7821782178
1300310383.67;66.5048543689
1300310384.67;70.5314009662
1300310385.67;77.033492823
1300310386.68;76.5853658537
1300310387.68;72.1393034826
1300310388.68;71.0144927536
1300310389.68;72.9064039409
1300310390.68;69.1542288557
1300310391.69;72.9468599034
1300310392.69;65.8415841584
1300310393.69;63.9423076923
1300310394.69;68.4729064039
1300310395.7;67.4876847291
1300310396.7;70.0483091787
1300310397.7;52.1531100478
1300310398.7;75.4901960784
1300310399.7;72.6368159204
1300310400.71;76.6169154229
1300310401.71;80.6930693069
1300310402.71;64.0
1300310403.71;67.6470588235
1300310404.72;64.0
1300310405.72;64.7058823529
1300310406.72;73.9130434783
1300310407.72;75.0
1300310408.72;73.8916256158
1300310409.73;73.3668341709
1300310410.73;72.6368159204
1300310411.73;73.5294117647
1300310412.73;72.5
1300310413.74;71.921182266
1300310414.74;71.0144927536
1300310415.74;72.8155339806
1300310416.74;73.1707317073
1300310417.75;65.3465346535
1300310418.75;63.5467980296
1300310419.75;63.5467980296
1300310420.75;67.6616915423
1300310421.75;68.932038835
1300310422.76;72.8155339806
1300310423.76;73.4299516908
1300310424.76;73.3990147783
1300310425.76;68.137254902
1300310426.77;68.4466019417
1300310427.77;64.7058823529
1300310428.77;64.5933014354
1300310429.77;67.8048780488
1300310430.77;68.932038835
1300310431.78;62.5592417062
1300310432.78;69.6517412935
1300310433.78;69.756097561
1300310434.78;48.1481481481
1300310435.78;64.0776699029
1300310436.79;88.9447236181
1300310437.79;83.8235294118
1300310438.79;71.921182266
1300310439.8;79.0243902439
1300310440.8;73.1707317073
1300310441.8;71.2918660287
1300310442.81;74.8792270531
1300310443.81;67.1497584541
1300310444.82;68.8118811881
1300310445.82;68.9655172414
1300310446.82;74.7572815534
1300310447.82;68.2926829268
1300310448.82;72.7272727273
1300310449.83;65.5339805825
1300310450.83;74.7572815534
1300310451.83;64.7058823529
1300310452.83;67.6470588235
1300310453.84;62.9268292683
1300310454.84;73.5
1300310455.84;64.7619047619
1300310456.84;74.6341463415
1300310457.84;73.631840796
1300310458.85;85.7142857143
1300310459.85;77.2946859903
1300310460.85;71.9806763285
1300310461.86;74.5
1300310462.86;73.1707317073
1300310463.86;66.8269230769
1300310464.86;64.039408867
1300310465.86;70.4433497537
1300310466.87;72.4137931034
1300310467.87;71.2195121951
1300310468.87;68.8995215311
1300310469.88;63.9024390244
1300310470.88;66.5024630542
1300310471.88;68.4466019417
1300310472.88;68.6567164179
1300310473.88;73.3990147783
1300310474.89;71.2871287129
1300310475.89;70.8737864078
1300310476.89;71.5
1300310477.89;75.1243781095
1300310478.9;70.7920792079
1300310479.9;63.0769230769
1300310480.9;64.039408867
1300310481.9;62.8272251309
1300310482.9;65.5913978495
1300310483.91;66.6666666667
1300310484.91;72.6315789474
1300310485.91;72.2488038278
1300310486.91;69.5652173913
1300310487.92;65.5172413793
1300310488.92;66.9950738916
1300310489.92;68.4466019417
1300310490.92;71.144278607
1300310491.93;67.4876847291
1300310492.93;69.0
1300310493.93;72.9064039409
1300310494.93;72.5961538462
1300310495.93;74.3961352657
1300310496.94;73.4299516908
1300310497.94;64.5631067961
1300310498.94;70.9523809524
1300310499.95;73.786407767
1300310500.95;72.1153846154
1300310501.95;77.0731707317
1300310502.96;75.3694581281
1300310503.96;68.137254902
1300310504.96;64.6766169154
1300310505.96;68.6274509804
1300310506.97;75.6218905473
1300310507.97;73.0392156863
1300310508.97;70.6730769231
1300310509.97;71.568627451
1300310510.98;63.6815920398
1300310511.98;68.6868686869
1300310512.98;69.5
1300310513.98;71.9806763285
1300310514.99;74.6268656716
1300310515.99;69.3069306931
1300310516.99;73.5294117647
1300310518.0;71.2195121951
1300310519.0;71.921182266
1300310520.0;67.6328502415
1300310521.0;63.7254901961
1300310522.01;68.7804878049
1300310523.01;63.9423076923
1300310524.01;60.487804878
1300310525.01;71.144278607
1300310526.01;67.8217821782
1300310527.02;74.5
1300310528.02;69.9507389163
1300310529.02;72.8571428571
1300310530.02;64.5933014354
1300310531.02;70.1492537313
1300310532.03;70.3883495146
1300310533.03;68.7804878049
1300310534.03;66.3461538462
1300310535.03;66.5024630542
1300310536.03;67.8048780488
1300310537.04;66.6666666667
1300310538.04;71.1538461538
1300310539.04;33.9449541284
1300310540.04;50.0
1300310541.05;35.3488372093
1300310542.05;48.309178744
