time;load1;load5;load15;running processes;num processes;last PID
1342817360;0.93;1.32;1.46;3;902;29330
1342817361;0.93;1.32;1.46;5;903;29351
1342817362;1.09;1.35;1.47;6;903;29368
1342817363;1.09;1.35;1.47;5;904;29389
1342817364;1.09;1.35;1.47;6;903;29405
1342817365;1.09;1.35;1.47;7;903;29425
1342817366;1.09;1.35;1.47;4;904;29443
1342817368;1.01;1.33;1.46;4;903;29463
1342817369;1.01;1.33;1.46;7;903;29481
1342817370;1.01;1.33;1.46;7;903;29514
1342817371;1.01;1.33;1.46;5;905;29536
1342817372;1.01;1.33;1.46;13;906;29566
1342817373;1.01;1.32;1.46;13;908;29581
1342817374;1.01;1.32;1.46;3;903;29605
1342817375;1.01;1.32;1.46;6;903;29625
1342817376;1.01;1.32;1.46;5;903;29642
